free_text,subject,grade,book,url,source
Dãy hoạt động hóa học của kim loại,Hóa học,9,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-17-day-hoat-dong-hoa-hoc-cua-kim-loai.493,hoc24
Cấu tạo phân tử hợp chất hữu cơ,Hóa học,9,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-35-cau-tao-phan-tu-hop-chat-huu-co.511,hoc24
Đề kiểm tra 1 tiết Cấu tạo chất hữu cơ-Metan-Etilen-Axetilen: Đề 1,Hóa học,9,Chương trình cũ,https://hoc24.vn/ly-thuyet/de-kiem-tra-1-tiet-cau-tao-chat-huu-co-metan-etilen-axetilen-de-1.5627,hoc24
Đề kiểm tra 1 tiết Cấu tạo chất hữu cơ-Metan-Etilen-Axetilen: Đề 2,Hóa học,9,Chương trình cũ,https://hoc24.vn/ly-thuyet/de-kiem-tra-1-tiet-cau-tao-chat-huu-co-metan-etilen-axetilen-de-2.5628,hoc24
Vai trò của bản vẽ kĩ thuật sản xuất và đời sống,Công nghệ,8,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-1-vai-tro-cua-ban-ve-ki-thuat-san-xuat-va-doi-song.3352,hoc24
Khái niệm về bản vẽ kĩ thuật - Hình cắt,Công nghệ,8,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-8-khai-niem-ve-ban-ve-ki-thuat-hinh-cat.3359,hoc24
Ôn tập chương Vẽ kĩ thuật,Công nghệ,8,Chương trình cũ,https://hoc24.vn/ly-thuyet/on-tap-chuong-ve-ki-thuat.78250,hoc24
Vai trò của cơ khí trong sản xuất và trong đời sống,Công nghệ,8,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-17-vai-tro-cua-co-khi-trong-san-xuat-va-trong-doi-song.5733,hoc24
Vai trò của điện năng trong sản xuất và đời sống,Công nghệ,8,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-32-vai-tro-cua-dien-nang-trong-san-xuat-va-doi-song.3377,hoc24
Vật liệu kĩ thuật điện,Công nghệ,8,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-36-vat-lieu-ki-thuat-dien.3380,hoc24
Phân loại và số liệu kỹ thuật của đồ dùng điện,Công nghệ,8,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-37-phan-loai-va-so-lieu-ky-thuat-cua-do-dung-dien.5738,hoc24
Đặc điểm và cấu tạo của mạng điện trong nhà,Công nghệ,8,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-50-dac-diem-va-cau-tao-cua-mang-dien-trong-nha.3389,hoc24
Thiết bị đóng-cắt và lấy điện của mạng điện trong nhà,Công nghệ,8,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-51-thiet-bi-dong-cat-va-lay-dien-cua-mang-dien-trong-nha.3390,hoc24
Thiết bị bảo vệ của mạng điện trong nhà,Công nghệ,8,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-53-thiet-bi-bao-ve-cua-mang-dien-trong-nha.3391,hoc24
Thực hành - Vẽ sơ đồ nguyên lí mạch điện,Công nghệ,8,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-56-thuc-hanh-ve-so-do-nguyen-li-mach-dien.5744,hoc24
Thiết kế mạch điện,Công nghệ,8,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-58-thiet-ke-mach-dien.5746,hoc24
Thực hành - Thiết kế mạch điện,Công nghệ,8,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-59-thuc-hanh-thiet-ke-mach-dien.5747,hoc24
Ôn tập chương Kĩ thuật điện,Công nghệ,8,Chương trình cũ,https://hoc24.vn/ly-thuyet/on-tap-chuong-ki-thuat-dien.99967,hoc24
Tiêu chuẩn trình bày bản vẽ kĩ thuật,Công nghệ,8,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-1-tieu-chuan-trinh-bay-ban-ve-ki-thuat.734885,hoc24
Một số phương pháp gia công cơ khí bằng tay,Công nghệ,8,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-7-mot-so-phuong-phap-gia-cong-co-khi-bang-tay.735406,hoc24
Nguyên nhân gây ra tai nạn điện và biện pháp an toàn điện,Công nghệ,8,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-10-nguyen-nhan-gay-ra-tai-nan-dien-va-bien-phap-an-toan-dien.735640,hoc24
Một số ngành nghề kĩ thuật điện phổ biến,Công nghệ,8,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-15-mot-so-nganh-nghe-ki-thuat-dien-pho-bien.735996,hoc24
Khái quát chung về thiết kế kĩ thuật,Công nghệ,8,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-16-khai-quat-chung-ve-thiet-ke-ki-thuat.736179,hoc24
Dự án: Thiết kế giá đọc sách,Công nghệ,8,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-18-du-an-thiet-ke-gia-doc-sach.736312,hoc24
Các bước thiết kế kĩ thuật,Công nghệ,8,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-17-cac-buoc-thiet-ke-ki-thuat.1622206,hoc24
Một số tiêu chuẩn trình bày bản vẽ kĩ thuật,Công nghệ,8,Kết Nối Tri Thức Với Cuộc Sống,https://hoc24.vn/ly-thuyet/bai-1-mot-so-tieu-chuan-trinh-bay-ban-ve-ki-thuat.672699,hoc24
Ngành nghề trong lĩnh vực kĩ thuật điện,Công nghệ,8,Kết Nối Tri Thức Với Cuộc Sống,https://hoc24.vn/ly-thuyet/bai-17-nganh-nghe-trong-linh-vuc-ki-thuat-dien.674071,hoc24
Giới thiệu về thiết kế kĩ thuật,Công nghệ,8,Kết Nối Tri Thức Với Cuộc Sống,https://hoc24.vn/ly-thuyet/bai-18-gioi-thieu-ve-thiet-ke-ki-thuat.674242,hoc24
Các bước cơ bản trong thiết kế kĩ thuật,Công nghệ,8,Kết Nối Tri Thức Với Cuộc Sống,https://hoc24.vn/ly-thuyet/bai-19-cac-buoc-co-ban-trong-thiet-ke-ki-thuat.674328,hoc24
Dự án: Thiết kế hệ thống tưới cây tự động,Công nghệ,8,Kết Nối Tri Thức Với Cuộc Sống,https://hoc24.vn/ly-thuyet/bai-20-du-an-thiet-ke-he-thong-tuoi-cay-tu-dong.674402,hoc24
Bản vẽ kĩ thuật,Công nghệ,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/bai-3-ban-ve-ki-thuat.708769,hoc24
Dự án 1: Thiết kế và lắp ráp mô hình cánh tay tô bốt thủy lực,Công nghệ,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/du-an-1-thiet-ke-va-lap-rap-mo-hinh-canh-tay-to-bot-thuy-luc.1499085,hoc24
Ngành nghề phổ biến trong lĩnh vực kĩ thuật điện,Công nghệ,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/bai-12-nganh-nghe-pho-bien-trong-linh-vuc-ki-thuat-dien.709728,hoc24
Đại cương về thiết kế kĩ thuật,Công nghệ,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/bai-13-dai-cuong-ve-thiet-ke-ki-thuat.709953,hoc24
Quy trình thiết kế kĩ thuật,Công nghệ,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/bai-14-quy-trinh-thiet-ke-ki-thuat.710043,hoc24
Dự án 2: Thiết kế mô hình bồn rửa tay tự động,Công nghệ,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/du-an-2-thiet-ke-mo-hinh-bon-rua-tay-tu-dong.1499013,hoc24
Vật liệu điện dùng trong lắp đặt mạng điện trong nhà,Công nghệ,9,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-2-vat-lieu-dien-dung-trong-lap-dat-mang-dien-trong-nha.5696,hoc24
Dụng cụ dùng trong lắp đặt mạng điện,Công nghệ,9,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-3-dung-cu-dung-trong-lap-dat-mang-dien.5697,hoc24
Lắp đặt dây dẫn của mạng điện trong nhà,Công nghệ,9,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-11-lap-dat-day-dan-cua-mang-dien-trong-nha.5705,hoc24
Kiểm tra an toàn mạng điện trong nhà,Công nghệ,9,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-12-kiem-tra-an-toan-mang-dien-trong-nha.5706,hoc24
Cấu tạo của xe đạp,Công nghệ,9,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-2-cau-tao-cua-xe-dap.5709,hoc24
Nguyên lí hoạt động của xe đạp,Công nghệ,9,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-3-nguyen-li-hoat-dong-cua-xe-dap.5710,hoc24
Giới thiệu nghề trồng cây ăn quả,Công nghệ,9,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-1-gioi-thieu-nghe-trong-cay-an-qua.5716,hoc24
Các phương pháp nhân giống cây ăn quả,Công nghệ,9,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-3-cac-phuong-phap-nhan-giong-cay-an-qua.5718,hoc24
Kỹ thuật trồng cây ăn quả có múi,Công nghệ,9,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-7-ky-thuat-trong-cay-an-qua-co-mui.5722,hoc24
Kỹ thuật trồng cây nhãn,Công nghệ,9,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-8-ky-thuat-trong-cay-nhan.5723,hoc24
Kỹ thuật trồng cây vải,Công nghệ,9,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-9-ky-thuat-trong-cay-vai.5724,hoc24
Kỹ thuật trồng cây xoài,Công nghệ,9,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-10-ky-thuat-trong-cay-xoai.5725,hoc24
Kỹ thuật trồng cây chôm chôm,Công nghệ,9,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-11-ky-thuat-trong-cay-chom-chom.5726,hoc24
Thực hành trồng cây ăn quả,Công nghệ,9,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-13-thuc-hanh-trong-cay-an-qua.5728,hoc24
"Nghề nghiệp trong lĩnh vực kĩ thuật, công nghệ",Công nghệ,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-1-nghe-nghiep-trong-linh-vuc-ki-thuat-cong-nghe.1390325,hoc24
"Giáo dục kĩ thuật, công nghệ trong hệ thống giáo dục quốc dân",Công nghệ,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-2-giao-duc-ki-thuat-cong-nghe-trong-he-thong-giao-duc-quoc-dan.1390410,hoc24
"Thị trường lao động kĩ thuật, công nghệ tại Việt Nam",Công nghệ,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-3-thi-truong-lao-dong-ki-thuat-cong-nghe-tai-viet-nam.1390495,hoc24
"Lựa chọn nghề nghiệp trong lĩnh vực kĩ thuật, công nghệ",Công nghệ,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-5-lua-chon-nghe-nghiep-trong-linh-vuc-ki-thuat-cong-nghe.1390628,hoc24
"Dự án Đánh giá mức độ phù hợp với ngành nghề thuộc lĩnh vực kĩ thuật, công nghệ",Công nghệ,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-6-du-an-danh-gia-muc-do-phu-hop-voi-nganh-nghe-thuoc-linh-vuc-ki-thuat-cong-nghe.1390705,hoc24
"Thiết bị, vật liệu, dụng cụ dùng cho lắp đặt mạng điện trong nhà",Công nghệ,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-3-thiet-bi-vat-lieu-dung-cu-dung-cho-lap-dat-mang-dien-trong-nha.1391065,hoc24
Thiết kế mạng điện trong nhà,Công nghệ,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-4-thiet-ke-mang-dien-trong-nha.1391146,hoc24
Tính toán chi phí cho mạng điện trong nhà,Công nghệ,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-5-tinh-toan-chi-phi-cho-mang-dien-trong-nha.1391235,hoc24
Thực hành lắp đặt mạng điện trong nhà,Công nghệ,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-6-thuc-hanh-lap-dat-mang-dien-trong-nha.1391326,hoc24
Một số ngành nghề liên quan đến lắp đặt mạng điện trong nhà,Công nghệ,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-7-mot-so-nganh-nghe-lien-quan-den-lap-dat-mang-dien-trong-nha.1391423,hoc24
Đặc điểm chung của cây ăn quả,Công nghệ,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-1-dac-diem-chung-cua-cay-an-qua.1391729,hoc24
Nhân giống vô tính cây ăn quả và thực hành nhân giống cây ăn quả bằng phương pháp ghép đoạn cành,Công nghệ,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-2-nhan-giong-vo-tinh-cay-an-qua-va-thuc-hanh-nhan-giong-cay-an-qua-bang-phuong-phap-ghep-doan-canh.1391904,hoc24
Thực hành nhân giống cây ăn quả bằng phương pháp giâm cành,Công nghệ,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-3-thuc-hanh-nhan-giong-cay-an-qua-bang-phuong-phap-giam-canh.1391979,hoc24
Thực hành nhân giống cây ăn quả bằng phương pháp chiết cành,Công nghệ,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-4-thuc-hanh-nhan-giong-cay-an-qua-bang-phuong-phap-chiet-canh.1392042,hoc24
Kĩ thuật trồng và chăm sóc cây xoài,Công nghệ,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-5-ki-thuat-trong-va-cham-soc-cay-xoai.1392220,hoc24
Kĩ thuật trồng và chăm sóc cây thanh long,Công nghệ,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-6-ki-thuat-trong-va-cham-soc-cay-thanh-long.1392318,hoc24
Kĩ thuật trồng và chăm sóc cây nhãn,Công nghệ,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-7-ki-thuat-trong-va-cham-soc-cay-nhan.1392374,hoc24
Kĩ thuật trồng và chăm sóc cây ăn quả có múi,Công nghệ,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-8-ki-thuat-trong-va-cham-soc-cay-an-qua-co-mui.1392454,hoc24
