free_text,label_id,category,source
"“Cuộc đời 79 mùa Xuân của Chủ tịch Hồ Chí Minh là biểu tượng cao đẹp nhất của chủ nghĩa yêu nước và chủ nghĩa anh hùng cách mạng Việt Nam. Người là kết tinh rạng ngời của đạo đức, trí tuệ, khí phách, lương tri của dân tộc và thời đại” (Diễn văn của Tổng Bí thư, Chủ tịch nước Nguyễn Phú Trọng tại Lễ kỉ niệm 130 năm ngày sinh Chủ tịch Hồ Chí Minh)",0,Lịch sử,vndoc
Nhìn tranh kể các vật dùng để đo đơn vị mi-li-lít,0,Toán học,vndoc
Giải phép tính bài toán và lời giải thích,0,Toán học,vndoc
Mẹ Hoa ra chợ mua 3 hộp sữa và 1 gói bánh. Biết 1 hộp sữa cân nặng 180g và 1 gói bánh cân nặng 320g. Hỏi mẹ Hoa mua được bao nhiêu gam bánh và sữa?,0,Toán học,vndoc
Một người thợ ngày đầu tiên may được 20 chiếc. Số mũ ngày thứ hai người thợ đó làm được kém 2 lần số chiếc mũ người đó đã may được ở ngày thứ nhất. Hỏi trong hai ngày người đó đã may được bao nhiêu chiếc mũ?,0,Toán học,vndoc
Một lớp học có 45 học sinh được cô giáo chia đều vào 3 hàng. Hỏi mỗi hàng có bao nhiêu học sinh?,0,Toán học,vndoc
"Trong các phép chia có dư với số chia là 5, số dư lớn nhất của các phép chia đó là? Giải gấp cho mình với nha!",0,Toán học,vndoc
1 thùng dầu 37l được chia đều vào 5 can nhỏ. Hỏi mỗi can dầu nhỏ chứa bao nhiêu lít dầu? Thùng dầu còn thừa bao nhiêu lít dầu?,0,Toán học,vndoc
Nam có một đoạn dây dài 20cm. Bạn ấy muốn cắt một đoạn dây dài 5cm từ đoạn dây ban đầu mà không cần dùng thước có vạch chia xăng-ti-mét. Em hãy giúp Nam tìm một cách làm,0,Toán học,vndoc
"Hãy tìm số có ba chữ số, biết chữ số hàng trăm gấp đôi chữ số hàng chục, chữ số hàng chục gấp ba lần chữ số hàng đơn vị",0,Toán học,vndoc
Tìm hai số bé hơn 5 và có thương là 2,0,Toán học,vndoc
Hãy tìm số có 2 chữ số biết tổng các chữ số của nó bằng 14,0,Toán học,vndoc
Nêu những điểm giống và khác nhau cơ bản giữa giảm phân và nguyên phân,0,Sinh học,vndoc
Phân biệt thường biến và đột biến,0,Sinh học,vndoc
Phản xạ là gì? Hãy lấy ví dụ về phản xạ,0,Sinh học,vndoc
Tại sao NST cần được co xoắn tối đa ở kì giữa của nguyên phân và giảm phân?,0,Sinh học,vndoc
"Giải thích tại sao ở kì trung gian, NST lại cần được dẫn xoắn tối đa tạo ra các vùng nguyên nhiễm sắc có các nucleosome tách rời nhau?",0,Sinh học,vndoc
"Giải thích vai trò của nguyên phân, giảm phân và thụ tinh trong quá trình truyền đạt thông tin di truyền giữa các thế hệ tế bào và thế hệ cơ thể",0,Sinh học,vndoc
"Nếu tách một gene của người khỏi hệ gene rồi gắn vào plasmid tạo DNA tái tổ hợp, sau đó chuyển vào tế bào E.coli thì vi khuẩn có tạo ra được protein của gene người hay không? Giải thích",0,Sinh học,vndoc
Công nghệ DNA tái tổ hợp là gì? Tóm tắt nguyên lý,0,Sinh học,vndoc
Tại sao đột biến gene được coi là nguồn nguyên liệu cho quá trình tiến hóa?,0,Sinh học,vndoc
Giải thích một số cơ chế phát sinh đột biến gene,0,Sinh học,vndoc
Nêu một số nguyên nhân gây đột biến gene,0,Sinh học,vndoc
Đột biến gene có thể được phân loại theo tiêu chí nào? Giải thích?,0,Sinh học,vndoc
Câu hỏi trang 105 SGK Lịch sử và Địa lí 7,0,Địa lý,vndoc
Câu hỏi trang 106 SGK Lịch sử và Địa lí 7,0,Địa lý,vndoc
Câu hỏi trang 98 SGK Lịch sử và Địa lí 7,0,Địa lý,vndoc
Những nguyên nhân nào làm suy giảm tài nguyên sinh vật nước ta,0,Địa lý,vndoc
"Dựa vào thông tin trong mục b và hình 3, em hãy trình bày đặc điểm phân hóa khí hậu ở châu Âu",0,Địa lý,vndoc
"Đồng bằng sông Hồng và đồng bằng sông Cửu Long có những điểm gì giống nhau và khác nhau về điều kiện hình thành, đặc điểm địa hình và đất?",0,Địa lý,vndoc
"Hãy phân tích ảnh hưởng của vị trí địa lí, phạm vi lãnh thổ đến kinh tế - xã hội và an ninh quốc phòng của nước ta",0,Địa lý,vndoc
Ví dụ văn hoá và văn minh,0,Địa lý,vndoc
"Quan sát hình 7.2 (SGK trang 26), cho biết sự khác nhau giữa vỏ lục địa và vỏ đại dương",0,Địa lý,vndoc
Câu hỏi mục 2d trang 100 SGK Lịch sử và Địa lí 7,0,Địa lý,vndoc
Trình bày đặc điểm các khu vực địa hình chính ở châu Âu,0,Địa lý,vndoc
Khu vực có mật độ dân số cao nhất thế giới hiện nay là ở đâu?,0,Địa lý,vndoc
"Kể về một tấm gương siêng năng, kiên trì mà em biết. Hãy chia sẻ với các bạn trong lớp",0,GDCD,vndoc
"Nêu những câu ca dao, tục ngữ nói về giữ gìn và phát huy truyền thống tốt đẹp của gia đình và dòng họ?",0,GDCD,vndoc
Kể 5 việc làm thể hiện sự khoan dung của bản thân đối với mọi người xung quanh,0,GDCD,vndoc
Vận dụng 1 GDCD 6 trang 38 sách Chân trời sáng tạo,0,GDCD,vndoc
"Tình huống: Khi biết tin D bị S bạn học cùng lớp bắt nạt nhiều lần, bạn thân của D là T vô cùng tức giận. T có ý định sẽ rủ thêm bạn chặn đường đánh cho S một bài học",0,GDCD,vndoc
"Em hãy viết về việc làm thể hiện tôn trọng sự thật hoặc chưa tôn trọng sự thật của bản thân và chia sẻ cảm xúc, suy nghĩ của em sau mỗi việc làm đó",0,GDCD,vndoc
"Câu hỏi mục Khám phá trang 12 SGK GDCD 7 Kết nối tri thức: Theo em, vì sao phải quan tâm, cảm thông và chia sẻ?",0,GDCD,vndoc
"Em hãy viết một bài chia sẻ về việc tự giác thực hiện quyền và nghĩa vụ của công dân trong bảo vệ, chăm sóc sức khỏe",0,GDCD,vndoc
"Theo em, các hành vi vi phạm nghĩa vụ học tập của công dân sẽ để lại tác hại và hậu quả gì?",0,GDCD,vndoc
"Do bố mẹ thường xuyên đi làm ăn ở địa phương khác nên K sống cùng ông bà. Thấy K lười học và không có mục tiêu trong học tập, ông bà thường xuyên nhắc nhở nhưng K không nghe lời. Cô giáo chủ nhiệm đã động viên, quan tâm nhưng K cho rằng bản thân có thể tự quyết định việc học của mình và từ chối hợp tác với cô giáo trong học tập",0,GDCD,vndoc
"S là sinh viên năm thứ nhất của một trường đại học. Sau khi tìm hiểu các quy định của trường, S đã quyết định đăng kí thêm các môn học khác so với chương trình tiêu chuẩn mỗi học kì. S nhận thấy các môn có sự liên kết nhất định với nhau và nếu tích luỹ đủ các tín chỉ theo chương trình đào tạo có thể ra trường sớm hơn so với các bạn. Tuy nhiên, bố mẹ lại phản đối không cho S đăng kí học vượt với lí do không phù hợp với trình độ nhận thức",0,GDCD,vndoc
Em hãy viết một bài luận tuyên truyền về quyền và nghĩa vụ học tập của học sinh,0,GDCD,vndoc
Khám phá trang 9 SGK Công nghệ 7,0,Công nghệ,vndoc
"Vì sao biện pháp lưu giữ giống gốc, nguồn gene quý có thể bảo vệ được nguồn lợi thủy sản?",0,Công nghệ,vndoc
Nêu nhược điểm của một số phương pháp khai thác nguồn lợi thủy sản phổ biến,0,Công nghệ,vndoc
"Trình bày ý nghĩa, nhiệm vụ của khai thác nguồn lợi thủy sản",0,Công nghệ,vndoc
Tìm hiểu thêm một số phương pháp khai thác nguồn lợi thủy sản khác đang được áp dụng ở Việt Nam. Nêu ưu nhược điểm của từng phương pháp đó,0,Công nghệ,vndoc
Tìm hiểu và mô tả kĩ thuật câu một loài thủy sản phổ biến,0,Công nghệ,vndoc
Vì sao sử dụng nguồn sáng nhân tạo có tác dụng tập trung đoàn thủy sản đến vị trí thuận lợi cho việc vây bắt?,0,Công nghệ,vndoc
So sánh nguyên lí hoạt động của lưới kéo và lưới rê,0,Công nghệ,vndoc
"Vì sao việc căn cứ vào tình trạng thủy sản lúc bắt (còn sống, đã chết, độ tươi) lại có thể xác định được vị trí thả lưới thích hợp cho lần sau?",0,Công nghệ,vndoc
"Vì sao việc thả bổ sung những loài thủy sản quý, hiếm vào các thủy vực tự nhiên giúp chúng tăng khả năng sinh sản?",0,Công nghệ,vndoc
Những việc nên làm và không nên làm để bảo vệ môi trường sống của các loài thủy sản,0,Công nghệ,vndoc
Tìm các kí hiệu âm nhạc đã học trong bài điều em muốn trang 25,0,Âm nhạc,vndoc
Tìm nốt thấp nhất của bài Cánh én tuổi thơ,0,Âm nhạc,vndoc
"Đặt lời mới cho bài ""Lí dĩa bánh bò""",0,Âm nhạc,vndoc
Thế nào là giọng La thứ hoà thanh?,0,Âm nhạc,vndoc
Xác định giọng la thứ như thế nào?,0,Âm nhạc,vndoc
Tìm dấu hiệu nhận biết bản nhạc viết ở giọng la thứ...?,0,Âm nhạc,vndoc
Vẽ trang trí họa tiết hình vuông đơn giản,0,Âm nhạc,vndoc
Kể tên các nhạc cụ phương Tây mà em biết?,0,Âm nhạc,vndoc
Vẽ tranh áo dài họa tiết hoa văn thời Trần,0,Âm nhạc,vndoc
Vẽ 5 dáng người đang hoạt động,0,Âm nhạc,vndoc
Vẽ tranh trang trí bìa lịch treo tường,0,Âm nhạc,vndoc
"Viết bài văn khoảng 400 chữ trình bày suy nghĩ của em về vấn đề trân trọng hiện tại, hướng đến tương lai nhưng không quá khứ",0,Other,vndoc
"Da cóc mà bọc bột lọc, Bột lọc mà bọc hòn than - Là quả gì?",0,Other,vndoc
